,geocode
0,"les Escaldes, Escaldes-Engordany, AD700, Andorra"
1,"Escaldes-Engordany, AD700, Andorra"
2,"Andorra la Vella, AD500, Andorra"
9,"دبي, 39205, الإمارات العربية المتحدة"
12,"نادي العاصمة للفروسية +971501222551, أبو ظبي, الإمارات العربية المتحدة"
30,"إمارة عجمان, الإمارات العربية المتحدة"
60,"العين, المُعْتَرِض, العين, أبو ظبي, 392189, الإمارات العربية المتحدة"
72,"مدينة الفجيرة, فجيرة, 9542, الإمارات العربية المتحدة"
73,"رأس الخيمة, 2574, الإمارات العربية المتحدة"
74,"مدينة الشارقة, الشارقة, الإمارات العربية المتحدة"
208,"أم القيوين, الإمارات العربية المتحدة"
447,"کابل, ولایت كابل, 10013, افغانستان"
453,"هرات, ولایت هرات, 3001, افغانستان"
467,"St. John's, Saint John, Antigua, P.O. BOX 812, Antigua and Barbuda"
474,"Coolidge, Saint George, Antigua, P.O. BOX W672, Antigua and Barbuda"
484,"The Valley, AI-2640, Anguilla"
488,"Tiranë, Bashkia Tiranë, Qarku i Tiranës, Shqipëria qendrore, 1001-1028, Shqipëria"
491,"Elbasan, Bashkia Elbasan, Qarku i Elbasanit, Shqipëria qendrore, Shqipëria"
492,"Bashkia Gjirokastër, Qarku i Gjirokastrës, Shqipëria jugore, Shqipëria"
493,"Korçë, Bashkia Korçë, Qarku i Korçës, Shqipëria jugore, 7001, Shqipëria"
494,"Lushnjë, Bashkia Lushnjë, Qarku i Fierit, Shqipëria jugore, 9001, Shqipëria"
495,"Shkodër, Bashkia Shkodër, Qarku i Shkodrës, Shqipëria veriore, 4001-4007, Shqipëria"
507,"Durrës, Bashkia Durrës, Qarku i Durrësit, Shqipëria veriore, 2001, Shqipëria"
510,"Fier, Bashkia Fier, Qarku i Fierit, Shqipëria jugore, Shqipëria"
512,"Kavajë, Bashkia Kavajë, Qarku i Tiranës, Shqipëria qendrore, 2501, Shqipëria"
514,"Qarku i Lezhës, Shqipëria veriore, Shqipëria"
520,"Vlorë, Bashkia Vlorë, Qarku i Vlorës, Shqipëria jugore, 9401-9403, Shqipëria"
533,"Երևան, Հայաստան"
553,"Luanda, Município de Luanda, Luanda, Angola"
558,"Huambo, Angola"
562,"Malanje, Angola"
590,"Benguela, Angola"
594,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina"
597,"Santa Fe, Argentina"
607,"Corrientes, Argentina"
608,"Formosa, Argentina"
612,"Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, Argentina"
